Source,Destination,Weight
Palmar-plantar erythrodysesthesia syndrome,Carpal Tunnel Syndrome,1
Palmar-plantar erythrodysesthesia syndrome,Cancer-Associated Retinopathy,2
Palmar-plantar erythrodysesthesia syndrome,Coronavirus Infections,2
Palmar-plantar erythrodysesthesia syndrome,Acute gastroenteritis,3
Palmar-plantar erythrodysesthesia syndrome,Congenital Thrombotic Thrombocytopenic Purpura,1
Palmar-plantar erythrodysesthesia syndrome,Gonorrhea,9
Palmar-plantar erythrodysesthesia syndrome,Geroderma osteodysplastica,9
Palmar-plantar erythrodysesthesia syndrome,Sexually Transmitted Diseases,2
Palmar-plantar erythrodysesthesia syndrome,Osteoporosis with pseudoglioma,1
Palmar-plantar erythrodysesthesia syndrome,"Lung Diseases, Obstructive",4
Palmar-plantar erythrodysesthesia syndrome,Gray Platelet Syndrome,3
Palmar-plantar erythrodysesthesia syndrome,Disease,2
Palmar-plantar erythrodysesthesia syndrome,Pain,1
Palmar-plantar erythrodysesthesia syndrome,rundown,1
Palmar-plantar erythrodysesthesia syndrome,Little's Disease,1
Palmar-plantar erythrodysesthesia syndrome,Testicular regression syndrome,1
Palmar-plantar erythrodysesthesia syndrome,PROGRESSIVE ENCEPHALOMYELITIS WITH RIGIDITY,1
Palmar-plantar erythrodysesthesia syndrome,Communicable Diseases,5
Palmar-plantar erythrodysesthesia syndrome,Common Cold,1
Palmar-plantar erythrodysesthesia syndrome,Influenza,2
Palmar-plantar erythrodysesthesia syndrome,Coughing,2
Palmar-plantar erythrodysesthesia syndrome,Asthenia,1
Palmar-plantar erythrodysesthesia syndrome,"Hyperostosis, Diffuse Idiopathic Skeletal",1
Palmar-plantar erythrodysesthesia syndrome,PREMATURE CHROMATID SEPARATION TRAIT,1
Palmar-plantar erythrodysesthesia syndrome,Chronic Obstructive Airway Disease,1
Palmar-plantar erythrodysesthesia syndrome,Pallister-Hall syndrome,1
Palmar-plantar erythrodysesthesia syndrome,Signs and Symptoms,1
Palmar-plantar erythrodysesthesia syndrome,Chronic articular rheumatism,1
Palmar-plantar erythrodysesthesia syndrome,Pyotraumatic dermatitis,1
Palmar-plantar erythrodysesthesia syndrome,Mass of body region,1
Palmar-plantar erythrodysesthesia syndrome,Multiple symptoms,1
Palmar-plantar erythrodysesthesia syndrome,Chills,1
Palmar-plantar erythrodysesthesia syndrome,Nervousness,2
Palmar-plantar erythrodysesthesia syndrome,Infantile Neuroaxonal Dystrophy,3
Palmar-plantar erythrodysesthesia syndrome,Exhaustion,1
Palmar-plantar erythrodysesthesia syndrome,Mandibuloacral dysostosis,1
Palmar-plantar erythrodysesthesia syndrome,Gasping for breath,1
Palmar-plantar erythrodysesthesia syndrome,Shoulder stiff,1
Palmar-plantar erythrodysesthesia syndrome,Fish-Eye Disease,1
Palmar-plantar erythrodysesthesia syndrome,Algoneurodystrophy,1
Palmar-plantar erythrodysesthesia syndrome,Amelogenesis imperfecta nephrocalcinosis,1
Palmar-plantar erythrodysesthesia syndrome,Malignant hyperpyrexia due to anesthesia,1
Palmar-plantar erythrodysesthesia syndrome,Dandy-Walker Syndrome,1
Palmar-plantar erythrodysesthesia syndrome,sick to stomach,1
Palmar-plantar erythrodysesthesia syndrome,Chest discomfort,1
Palmar-plantar erythrodysesthesia syndrome,Vaccinia,1
Palmar-plantar erythrodysesthesia syndrome,Myopia,1
Palmar-plantar erythrodysesthesia syndrome,Kartagener Syndrome,1
Palmar-plantar erythrodysesthesia syndrome,Equine laminitis,1
Carpal Tunnel Syndrome,Cancer-Associated Retinopathy,12
Carpal Tunnel Syndrome,Coronavirus Infections,15
Carpal Tunnel Syndrome,Acute gastroenteritis,14
Carpal Tunnel Syndrome,Congenital Thrombotic Thrombocytopenic Purpura,2
Carpal Tunnel Syndrome,Gonorrhea,31
Carpal Tunnel Syndrome,Geroderma osteodysplastica,31
Carpal Tunnel Syndrome,Sexually Transmitted Diseases,7
Carpal Tunnel Syndrome,Osteoporosis with pseudoglioma,2
Carpal Tunnel Syndrome,"Lung Diseases, Obstructive",21
Carpal Tunnel Syndrome,Gray Platelet Syndrome,22
Carpal Tunnel Syndrome,Disease,18
Carpal Tunnel Syndrome,Pain,7
Carpal Tunnel Syndrome,rundown,1
Carpal Tunnel Syndrome,Little's Disease,21
Carpal Tunnel Syndrome,Testicular regression syndrome,5
Carpal Tunnel Syndrome,PROGRESSIVE ENCEPHALOMYELITIS WITH RIGIDITY,2
Carpal Tunnel Syndrome,Communicable Diseases,13
Carpal Tunnel Syndrome,Chronic otitis media,8
Carpal Tunnel Syndrome,"SHORT STATURE, IDIOPATHIC, X-LINKED",5
Carpal Tunnel Syndrome,organic disorders,2
Carpal Tunnel Syndrome,AICARDI-GOUTIERES SYNDROME 1,1
Carpal Tunnel Syndrome,Sore to touch,1
Carpal Tunnel Syndrome,Allergic disposition,4
Carpal Tunnel Syndrome,Common Cold,10
Carpal Tunnel Syndrome,Influenza,13
Carpal Tunnel Syndrome,Coughing,10
Carpal Tunnel Syndrome,Asthenia,2
Carpal Tunnel Syndrome,Dyspnea,1
Carpal Tunnel Syndrome,Blind Vision,5
Carpal Tunnel Syndrome,Idiopathic Multicentric Osteolyses,2
Carpal Tunnel Syndrome,"Hyperostosis, Diffuse Idiopathic Skeletal",3
Carpal Tunnel Syndrome,PREMATURE CHROMATID SEPARATION TRAIT,5
Carpal Tunnel Syndrome,Halitosis,1
Carpal Tunnel Syndrome,Gout,1
Carpal Tunnel Syndrome,gastrointestinal gas,3
