PostNumber,SymptomName,PostLink
1,"['Infantile Neuroaxonal Dystrophy', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=42
2,"['Malignant hyperpyrexia due to anesthesia', 'Chronic otitis media', 'Acute gastroenteritis', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=47
3,"['Gonorrhea', 'Geroderma osteodysplastica', 'Disease', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=43
4,"['Gonorrhea', 'Geroderma osteodysplastica', 'Lung Diseases, Obstructive', 'Angle Closure Glaucoma', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=49
5,"['Gonorrhea', 'Geroderma osteodysplastica', 'Pseudohypoparathyroidism', 'Diabetes Mellitus, Non-Insulin-Dependent', 'Pseudohypoparathyroidism, Type Ia', 'Lung Diseases, Obstructive', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=46
6,"['Multi-infarct dementia', 'Signs and Symptoms', 'Burning sensation', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=41
7,"['Gonorrhea', 'Geroderma osteodysplastica', 'Autoimmune disease (systemic) NOS', 'Malignant hyperpyrexia due to anesthesia', 'AICARDI-GOUTIERES SYNDROME 1', 'Signs and Symptoms', 'gastrointestinal gas', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=48
8,"['Gonorrhea', 'Geroderma osteodysplastica', 'Malignant hyperpyrexia due to anesthesia', 'Chronic Obstructive Airway Disease', 'Depressive Symptoms', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=45
9,"['Lung Diseases, Obstructive', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=59
10,"['Anemia, Diamond-Blackfan', 'Simian Acquired Immunodeficiency Syndrome', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=62
11,"['Axenfeld-Rieger syndrome', 'Gonorrhea', 'Geroderma osteodysplastica', 'Pallister-Hall syndrome', 'Chronic otitis media', 'Reflex Sympathetic Dystrophy', 'organic disorders', 'Coronavirus Infections', 'Disease', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=65
