PostNumber,SymptomName,PostLink,Drugs,Treatment,BodyParts,Title,Author,Total_Replies,Total_Weight
1,"['Infantile Neuroaxonal Dystrophy', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=42,"[nan, nan, nan, nan, nan, nan, nan]","[nan, 'Modest-Temperature Hyperthermia', 'Fracture Fixation, Internal', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Relaxation Techniques', 'Division (surgical procedure)', nan]","[nan, nan, nan, nan, nan, nan, 'Structure of putamen']",pregnant and worried,pregnant worried,1,100.0
2,"['Malignant hyperpyrexia due to anesthesia', 'Chronic otitis media', 'Acute gastroenteritis', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=47,"[nan, nan, nan, nan, nan]","[nan, nan, nan, 'Caregiver support (regime/therapy)', 'Incision and drainage']","[nan, nan, nan, nan, nan]",supports for parents/caregivers,boymom 18,3,175.0
3,"['Gonorrhea', 'Geroderma osteodysplastica', 'Disease', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=43,"[nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, 'Transjugular intrahepatic portosystemic shunt procedure', 'Obstetric Delivery', 'peritoneal dialysate (treatment)', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', nan, nan]","[nan, nan, nan, nan, nan, nan, nan, 'Hand', 'Entire upper limb']",worried about going outside when i need to run errands,notjessica jones,2,116.66666666666667
4,"['Gonorrhea', 'Geroderma osteodysplastica', 'Lung Diseases, Obstructive', 'Angle Closure Glaucoma', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=49,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, 'Inferior esophageal sphincter structure']",talking to family/friends about social distancing,golden 001,2,112.5
5,"['Gonorrhea', 'Geroderma osteodysplastica', 'Pseudohypoparathyroidism', 'Diabetes Mellitus, Non-Insulin-Dependent', 'Pseudohypoparathyroidism, Type Ia', 'Lung Diseases, Obstructive', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=46,"[nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, 'Transjugular intrahepatic portosystemic shunt procedure', 'peritoneal dialysate (treatment)']","[nan, nan, nan, nan, nan, nan, nan, nan]",stressed about going to work,dreamer 85,1,60.0
6,"['Multi-infarct dementia', 'Signs and Symptoms', 'Burning sensation', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=41,"[nan, nan, nan, nan]","[nan, nan, nan, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol']","[nan, nan, nan, nan]",family workspace stress,at home,5,258.3333333333333
7,"['Gonorrhea', 'Geroderma osteodysplastica', 'Autoimmune disease (systemic) NOS', 'Malignant hyperpyrexia due to anesthesia', 'AICARDI-GOUTIERES SYNDROME 1', 'Signs and Symptoms', 'gastrointestinal gas', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=48,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, 'Anterior decompression of shoulder joint', 'Drainage procedure', 'Distraction therapy', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Reminding']","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",getting through,chocolate chip,2,107.14285714285714
8,"['Gonorrhea', 'Geroderma osteodysplastica', 'Malignant hyperpyrexia due to anesthesia', 'Chronic Obstructive Airway Disease', 'Depressive Symptoms', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=45,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, 'Transjugular intrahepatic portosystemic shunt procedure', 'Anterior decompression of shoulder joint', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Reminding', 'Exercise Pain Management', 'Cardiac Lead Procedure', nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Respiratory Diaphragm']",effects of social/physical-distancing on mood,alone worried,6,306.25
9,"['Lung Diseases, Obstructive', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=59,"[nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, 'Modest-Temperature Hyperthermia', 'Physical therapy exercises', 'nursing therapy', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Family support', nan, nan, nan]","[nan, nan, nan, nan, nan, nan, 'Integumentary scale', 'Structure of putamen', 'Shell - Animal skin appendage']",stressed about parent in nursing home,brooklyn 56,1,55.55555555555556
10,"['Anemia, Diamond-Blackfan', 'Simian Acquired Immunodeficiency Syndrome', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=62,"[nan, nan, nan, nan, nan]","[nan, nan, 'Transjugular intrahepatic portosystemic shunt procedure', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Incision and drainage']","[nan, nan, nan, nan, nan]",working and home schooling,blueberry 14,1,55.0
