PostNumber,SymptomName,PostLink,Drugs,Treatment,BodyParts,Title,Author,Total_Replies,Total_Weight
1,"['Palmar-plantar erythrodysesthesia syndrome', 'Carpal Tunnel Syndrome', 'Cancer-Associated Retinopathy', 'Coronavirus Infections', 'Acute gastroenteritis', 'Congenital Thrombotic Thrombocytopenic Purpura', 'Gonorrhea', 'Geroderma osteodysplastica', 'Sexually Transmitted Diseases', 'Osteoporosis with pseudoglioma', 'Lung Diseases, Obstructive', 'Gray Platelet Syndrome', 'Disease', 'Pain', 'rundown', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Childhood Immunization', 'Surgical repair', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'answer questions', nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Structure of supraoptic nucleus', 'Structure of putamen', 'Gut', 'Downy hair', 'Foot', 'Nucleus raphe obscurus']",covid-19: evaluating the risk,/personal_pages/user/20906447,6,350.0
2,"['Gonorrhea', 'Geroderma osteodysplastica', ""Little's Disease"", 'cold symptoms', 'Lung Diseases, Obstructive', 'Testicular regression syndrome', 'PROGRESSIVE ENCEPHALOMYELITIS WITH RIGIDITY', 'Anosmia', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, 'Modest-Temperature Hyperthermia', 'Toothbrushing', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Scraping', 'Therapeutic procedure', 'Osteogenesis, Distraction', nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Sensory nerve', 'Neural Pathways', 'Entire tongue', 'Entire nerve', 'Brain', 'bony process', 'Lung', 'Nose']",loss of smell and taste?,/personal_pages/user/20853936,6,325.0
3,"['Gonorrhea', 'Geroderma osteodysplastica', 'Communicable Diseases', 'Chronic otitis media', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Lung Diseases, Obstructive', 'Herpes', 'organic disorders', 'AICARDI-GOUTIERES SYNDROME 1', 'Coronavirus Infections', 'PROGRESSIVE ENCEPHALOMYELITIS WITH RIGIDITY', 'Disease', 'Fever with chills', 'Generalized fatigue', 'Fatigue', 'Sore to touch', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Antiretroviral therapy', 'Expulsion (procedure)', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Assisted Reproductive Technologies', 'bleomycin/methotrexate/vincristine protocol', 'Isolation procedure', 'Therapeutic procedure', 'Visceral manipulation', 'Anchoring procedure', nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Respiratory Diaphragm', 'Organ', 'bony process']",igm and igg antibody test for covid,/personal_pages/user/20853936,2,116.66666666666667
4,"['Gonorrhea', 'Geroderma osteodysplastica', 'Allergic disposition', 'Communicable Diseases', 'Diabetes', 'Common Cold', 'Influenza', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Lung Diseases, Obstructive', 'Coronavirus Infections', 'Pancreatitis', 'Rhinorrhea', 'Anosmia', 'Coughing', 'Asthenia', 'Dyspnea', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Treated with', 'Quarantine', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Incision and drainage', 'bleomycin/methotrexate/vincristine protocol', 'Therapeutic procedure', 'Osteogenesis, Distraction', 'Cardiac Lead Procedure', nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Gallbladder', 'Nose']",how to know if its cold /flu vs corona??,/personal_pages/user/20845021,6,312.5
5,"['Blind Vision', 'Gonorrhea', 'Geroderma osteodysplastica', 'Idiopathic Multicentric Osteolyses', 'Carpal Tunnel Syndrome', 'Influenza', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Hyperostosis, Diffuse Idiopathic Skeletal', 'PREMATURE CHROMATID SEPARATION TRAIT', 'Halitosis', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://www.medhelp.org/posts/Coronavirus/Mouthwash-research/show/3062281,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'ALCOHOL/BENZOIC ACID/EUCALYPTOL/METHYL SALICYLATE/THYMOL LIQUID', nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Single Embryo Transfer', 'Immobilization', 'Cardiovascular Surgical Procedures', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Reduction - action', 'Cardiac Lead Procedure', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Entire nose', 'Mandibular right first molar', 'Entire throat (surface region of neck)', 'Hand', 'Structure of root of nose', 'Common carotid artery', 'Entire nasal passage', 'Lung', 'Nose']",mouthwash research,/user_profiles/show/20853936,5,260.0
6,"['Communicable Diseases', 'Influenza', 'Lung Diseases, Obstructive', 'Encephalopathy, Bovine Spongiform', 'Coronavirus Infections', 'nan', 'nan', 'nan', 'nan']",https://www.medhelp.org/posts/Coronavirus/How-are-diseases-spread/show/3062274,"[nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, 'Adoptive Immunotherapy', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', nan, nan]","[nan, nan, nan, nan, nan, nan, nan, 'Eye', 'Nose']",how are diseases spread?,/personal_pages/user/20905035,4,208.33333333333334
7,"['Gonorrhea', 'Geroderma osteodysplastica', 'Communicable Diseases', 'Carotid Artery Diseases', 'Gum Infection', 'Gingival Diseases', 'Myocardial Infarction', 'Lung Diseases, Obstructive', 'Infection of tooth', 'Dental caries', 'Acute gastroenteritis', 'Disease', 'Pain', 'Asthenia', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://www.medhelp.org/posts/Coronavirus/Gum-Disease-linked-to-Higher-death-rate-with-Covid-19/show/3062949,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Extraction', 'Root Canal Therapy', 'Surgical and medical procedures', 'Interventional procedure', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Therapeutic radiology procedure', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Deciduous maxillary right second molar tooth', 'Molar tooth', 'Entire head', 'Gingiva', 'Deciduous maxillary left first molar tooth', 'Body Parts - Canal', 'Structure of putamen', 'Entire tooth', 'Tooth structure', 'Brain']",gum disease linked to higher death rate with covid 19,/personal_pages/user/20620809,1,57.142857142857146
8,"['Congenital Thrombotic Thrombocytopenic Purpura', 'Communicable Diseases', ""Little's Disease"", 'Secondary Infections', 'PREMATURE CHROMATID SEPARATION TRAIT', 'Metabolic Diseases', 'Actual Inability To Taste', 'Other symptoms', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://www.medhelp.org/posts/Coronavirus/Quarantine-time-for-COVID19/show/3062880,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, 'Modest-Temperature Hyperthermia', 'Treated with', 'Quarantine', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Isolation procedure', 'Release (procedure)', 'disorder control (procedure)', 'Cardiac Lead Procedure', nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Downy hair']",quarantine time for covid19,/personal_pages/user/20905976,7,356.25
9,"['Gout', 'nan', 'nan', 'nan']",https://www.medhelp.org/posts/Coronavirus/Gout-drug-colchicine-in-Covid-trial-will-publish-results-this-week/show/3062594,"[nan, nan, nan, nan]","[nan, 'Procedures involving the use of pharmaceuticals', 'Therapeutic procedure', nan]","[nan, nan, nan, 'Common carotid artery']",gout drug colchicine in covid trial will publish results this week,/personal_pages/user/19040740,2,105.55555555555556
10,"['Gonorrhea', 'Geroderma osteodysplastica', 'Acute gastroenteritis', 'AICARDI-GOUTIERES SYNDROME 1', 'Anosmia', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://www.medhelp.org/posts/Coronavirus/Antibodies-test-offered-by-local-pharmacy-Assure-shows-mixed-results/show/3062654,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, 'Modest-Temperature Hyperthermia', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Incision and drainage', 'bleomycin/methotrexate/vincristine protocol', 'answer questions', 'Vaccination', 'Presence', 'Detection', 'Visceral manipulation', nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Entire face']",antibodies test offered by local pharmacy (assure) shows mixed results,/user_profiles/show/20853936,2,105.0
