PostNumber,SymptomName,PostLink,Drugs,Treatment,BodyParts,Title,Author,Total_Replies,Total_Weight
1,"['Neuropathy', 'Ache', 'Muscular fasciculation', 'Feeling strange', 'Neurologic Symptoms', 'Fatigue', 'Has tingling sensation', 'Myalgia', 'Weakness', 'Tremor', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/i-ve-had-loads-of-neurological-symptoms-since-covid-anyone-had-the-same--756542,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Isolation procedure', nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Left upper arm structure', 'Entire calf of leg (body structure)', 'Entire upper arm', 'Set of muscles', 'Lanugo', 'Foot']","ive had loads of neurological symptoms since covid, anyone had the same?",/forums/profiles/elliott86287-1360148,2,150.0
2,"['Ache', 'Diarrhea', 'Headache', 'Weakness', 'Syncope', 'Cold sweat', 'Pain', 'nan']",https://patient.info//forums/discuss/covid-symptoms-753523,"[nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, 'Nose']",covid symptoms,/forums/profiles/tracy82832-1351674,6,325.0
3,"['Communicable Diseases', 'Fish-Eye Disease', 'Coronavirus Infections', 'Excessive tearing', 'Anorexia', 'Gastroparesis', 'asthma with copd', 'Other viral diseases NOS', 'Asthma', 'Secondary Infections', 'Recurrent disease', 'Gray Platelet Syndrome', 'Oral Ulcer', 'BESTROPHINOPATHY, AUTOSOMAL RECESSIVE', 'Gastroesophageal reflux disease', 'Pneumonia', 'Pharyngitis', 'Common Cold', 'Influenza', 'Narcolepsy', 'Bacterial Infections', 'Xerostomia', 'Neuropathy', 'Tennis Elbow', 'Deglutition Disorders', 'Malnutrition', 'Disease', 'Seizures', 'Diarrhea', 'Feeling nervous', 'Fatigue', 'Burning sensation', 'Headache', 'Flushing', 'Pain', 'Muscle Cramp', 'Breathing abnormally deep', 'Exhaustion', 'Numbness', 'Neck Pain', 'Neurologic Symptoms', 'Feeling Cold', 'Nausea', 'Has tingling sensation', 'Coughing', 'Sharp pain', 'Nightmares', 'Ache', 'Chest Pain', 'Tired', 'BODY ACHE', 'Overweight', 'Myalgia', 'Syncope', 'Back Pain', 'Nervousness', 'Illness (finding)', 'Difficulty sleeping', 'Hunger', 'Dizziness', 'Sore Throat', 'Dry cough', 'Weakness', 'Lethargy', 'Hot flushes', 'Dyspnea', 'Chills', 'Sore to touch', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/covid-for-4-weeks-still-bed-ridden-anyone-else-had-prolonged-severe-illness-without-hospitalization-734070,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Lisinopril Pill', 'cough syrup', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Physical therapy exercises', 'DRUGS', 'Quarantine', 'Incision and drainage', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Special Diet Therapy', 'Dietary Modification', 'Therapeutic procedure', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Entire stomach', 'Palatine Tonsil', 'Belly of skeletal muscle', 'Heart', 'Mandibular right first molar', 'Left upper arm structure', 'Entire throat (surface region of neck)', 'Hand', 'Gland', 'Structure of left half of body', 'Hair', 'Set of muscles', 'Lung', 'Entire neck', 'Nose', 'Entire head', 'Entire upper arm', 'bony process', 'Vertebral column', '20s', 'Lanugo']",covid for 4 weeks & still bed ridden. anyone else had prolonged severe illness without hospitalization,/forums/profiles/res35-1308208,448,22416.666666666668
4,"['Coughing', 'Earache', 'Pharyngeal dryness', 'nan', 'nan']",https://patient.info//forums/discuss/painful-mouth-throat-post-covid-756606,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, 'Entire throat (surface region of neck)', 'Tongue']",painful mouth / throat post covid,/forums/profiles/lorraine68667-1360373,2,112.5
5,"['Deep Vein Thrombosis', 'Pain in calf', 'Sensation of warmth', 'Pain', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/possible-symptoms-of-dvt-or-just-a-bad-coincidence-756696,"[nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, 'Coagulation procedure', 'Therapeutic tactile stimulation', nan, nan, nan]","[nan, nan, nan, nan, nan, nan, 'Entire calf of leg (body structure)', 'Foot', 'Digit structure']",possible symptoms of dvt or just a bad coincidence,/forums/profiles/mr52396-1356186,0,10.0
6,"['Urinary tract infection', 'Hay fever', 'Influenza', 'Chronic Obstructive Airway Disease', 'Pityriasis Rosea', 'Septicemia', 'Disease', 'BODY ACHE', 'Tired', 'Exanthema', 'Upset stomach', 'Throat symptom', 'Headache', 'Pain', 'Ageusia', 'Stomach ache', 'Illness (finding)', 'Nausea', 'Hunger', 'Coughing', 'Sharp pain', 'Dyspnea', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/tested-positive-on-28th-dec-20-my-symptoms-etc-753995,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Isolation procedure', nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Entire throat (surface region of neck)', 'Knee', 'Lanugo', 'anatomical layer']",tested positive on 28th dec 20 - my symptoms etc,/forums/profiles/h4nn4h-1352923,6,308.3333333333333
7,"['Anorexia', 'Ear symptom', 'Fatigue', 'Burning sensation', 'Myalgia', 'Headache', 'Pain', 'Earache', 'Sleeplessness']",https://patient.info//forums/discuss/post-covid-symptoms-756689,"[nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan]",post covid symptoms,/forums/profiles/fran39898-1360733,0,7.142857142857143
8,"['Ageusia', 'Ache', 'Feeling Sick', 'Nausea', 'Headache', 'Coughing', 'Dyspnea']",https://patient.info//forums/discuss/day-10-nausea-and-headache-756678,"[nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan]",day 10 nausea and headache,/forums/profiles/claire23672-1360695,0,6.25
9,"['Ache', 'Tired', 'Fatigue', 'Pain', 'Arm Pain', 'Sore to touch', 'Chills', 'nan']",https://patient.info//forums/discuss/moderna-2-doses-my-reactions-756664,"[nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, 'Entire upper arm']",moderna 2 doses - my reactions,/forums/profiles/mike1997-1245897,0,5.555555555555555
10,"['Van der Woude syndrome', 'Common Cold', 'Dehydration', 'Fibromyalgia', 'Ache', 'Tired', 'Fatigue', 'Cough with fever', 'Myalgia', 'Headache', 'Weakness', 'Earache', 'spells (neurological symptom)', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/no-appetite-and-sleeping-all-day-so-so-tired-754115,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Injection of therapeutic agent', nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Gut', 'anatomical layer']","no appetite and sleeping all day, so so tired",/forums/profiles/rhiannon91220-1353232,8,405.0
