PostNumber,SymptomName,PostLink,Drugs,Treatment,BodyParts
1,"['Infantile Neuroaxonal Dystrophy', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=42,"[nan, nan, nan, nan, nan, nan, nan]","[nan, 'Modest-Temperature Hyperthermia', 'Fracture Fixation, Internal', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Relaxation Techniques', 'Division (surgical procedure)', nan]","[nan, nan, nan, nan, nan, nan, 'Structure of putamen']"
2,"['Malignant hyperpyrexia due to anesthesia', 'Chronic otitis media', 'Acute gastroenteritis', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=47,"[nan, nan, nan, nan, nan]","[nan, nan, nan, 'Caregiver support (regime/therapy)', 'Incision and drainage']","[nan, nan, nan, nan, nan]"
3,"['Gonorrhea', 'Geroderma osteodysplastica', 'Disease', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=43,"[nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, 'Transjugular intrahepatic portosystemic shunt procedure', 'Obstetric Delivery', 'peritoneal dialysate (treatment)', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', nan, nan]","[nan, nan, nan, nan, nan, nan, nan, 'Hand', 'Entire upper limb']"
4,"['Gonorrhea', 'Geroderma osteodysplastica', 'Lung Diseases, Obstructive', 'Angle Closure Glaucoma', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=49,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, 'Inferior esophageal sphincter structure']"
5,"['Gonorrhea', 'Geroderma osteodysplastica', 'Pseudohypoparathyroidism', 'Diabetes Mellitus, Non-Insulin-Dependent', 'Pseudohypoparathyroidism, Type Ia', 'Lung Diseases, Obstructive', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=46,"[nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, 'Transjugular intrahepatic portosystemic shunt procedure', 'peritoneal dialysate (treatment)']","[nan, nan, nan, nan, nan, nan, nan, nan]"
6,"['Multi-infarct dementia', 'Signs and Symptoms', 'Burning sensation', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=41,"[nan, nan, nan, nan]","[nan, nan, nan, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol']","[nan, nan, nan, nan]"
7,"['Gonorrhea', 'Geroderma osteodysplastica', 'Autoimmune disease (systemic) NOS', 'Malignant hyperpyrexia due to anesthesia', 'AICARDI-GOUTIERES SYNDROME 1', 'Signs and Symptoms', 'gastrointestinal gas', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=48,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, 'Anterior decompression of shoulder joint', 'Drainage procedure', 'Distraction therapy', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Reminding']","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
8,"['Gonorrhea', 'Geroderma osteodysplastica', 'Malignant hyperpyrexia due to anesthesia', 'Chronic Obstructive Airway Disease', 'Depressive Symptoms', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=45,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, 'Transjugular intrahepatic portosystemic shunt procedure', 'Anterior decompression of shoulder joint', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Reminding', 'Exercise Pain Management', 'Cardiac Lead Procedure', nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Respiratory Diaphragm']"
9,"['Lung Diseases, Obstructive', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=59,"[nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, 'Modest-Temperature Hyperthermia', 'Physical therapy exercises', 'nursing therapy', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Family support', nan, nan, nan]","[nan, nan, nan, nan, nan, nan, 'Integumentary scale', 'Structure of putamen', 'Shell - Animal skin appendage']"
10,"['Anemia, Diamond-Blackfan', 'Simian Acquired Immunodeficiency Syndrome', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=62,"[nan, nan, nan, nan, nan]","[nan, nan, 'Transjugular intrahepatic portosystemic shunt procedure', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Incision and drainage']","[nan, nan, nan, nan, nan]"
11,"['Axenfeld-Rieger syndrome', 'Gonorrhea', 'Geroderma osteodysplastica', 'Pallister-Hall syndrome', 'Chronic otitis media', 'Reflex Sympathetic Dystrophy', 'organic disorders', 'Coronavirus Infections', 'Disease', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=65,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Disinfection', 'nursing therapy', 'peritoneal dialysate (treatment)', 'Decontamination', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Abdominoperineal resection', 'Excision of axillary lymph nodes', 'Etoposide/Ifosfamide/Mesna/Mitoxantrone', 'Direct Method', 'Discussion (procedure)', nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Hand', 'Entire face']"
12,"['Gonorrhea', 'Geroderma osteodysplastica', 'WILSON-TURNER X-LINKED MENTAL RETARDATION SYNDROME', 'Carpal Tunnel Syndrome', 'Dehydration', 'Coronavirus Infections', 'Dandy-Walker Syndrome', 'Seizures', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://covid19.camhx.ca/mod/forum/discuss.php?d=44,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, 'Transjugular intrahepatic portosystemic shunt procedure', 'Meditation Therapy', 'Distraction therapy', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Exercise Pain Management', nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Respiratory Diaphragm', 'Adrenal Glands', 'Structure of putamen', 'Common carotid artery', 'Entire appendix']"
