PostNumber,SymptomName,PostLink
1,"['Neuropathy', 'Ache', 'Muscular fasciculation', 'Feeling strange', 'Neurologic Symptoms', 'Fatigue', 'Has tingling sensation', 'Myalgia', 'Weakness', 'Tremor', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/i-ve-had-loads-of-neurological-symptoms-since-covid-anyone-had-the-same--756542
2,"['Ache', 'Diarrhea', 'Headache', 'Weakness', 'Syncope', 'Cold sweat', 'Pain', 'nan']",https://patient.info//forums/discuss/covid-symptoms-753523
3,"['Communicable Diseases', 'Fish-Eye Disease', 'Coronavirus Infections', 'Excessive tearing', 'Anorexia', 'Gastroparesis', 'asthma with copd', 'Other viral diseases NOS', 'Asthma', 'Secondary Infections', 'Recurrent disease', 'Gray Platelet Syndrome', 'Oral Ulcer', 'BESTROPHINOPATHY, AUTOSOMAL RECESSIVE', 'Gastroesophageal reflux disease', 'Pneumonia', 'Pharyngitis', 'Common Cold', 'Influenza', 'Narcolepsy', 'Bacterial Infections', 'Xerostomia', 'Neuropathy', 'Tennis Elbow', 'Deglutition Disorders', 'Malnutrition', 'Disease', 'Seizures', 'Diarrhea', 'Feeling nervous', 'Fatigue', 'Burning sensation', 'Headache', 'Flushing', 'Pain', 'Muscle Cramp', 'Breathing abnormally deep', 'Exhaustion', 'Numbness', 'Neck Pain', 'Neurologic Symptoms', 'Feeling Cold', 'Nausea', 'Has tingling sensation', 'Coughing', 'Sharp pain', 'Nightmares', 'Ache', 'Chest Pain', 'Tired', 'BODY ACHE', 'Overweight', 'Myalgia', 'Syncope', 'Back Pain', 'Nervousness', 'Illness (finding)', 'Difficulty sleeping', 'Hunger', 'Dizziness', 'Sore Throat', 'Dry cough', 'Weakness', 'Lethargy', 'Hot flushes', 'Dyspnea', 'Chills', 'Sore to touch', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/covid-for-4-weeks-still-bed-ridden-anyone-else-had-prolonged-severe-illness-without-hospitalization-734070
4,"['Coughing', 'Earache', 'Pharyngeal dryness', 'nan', 'nan']",https://patient.info//forums/discuss/painful-mouth-throat-post-covid-756606
5,"['Deep Vein Thrombosis', 'Pain in calf', 'Sensation of warmth', 'Pain', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/possible-symptoms-of-dvt-or-just-a-bad-coincidence-756696
6,"['Urinary tract infection', 'Hay fever', 'Influenza', 'Chronic Obstructive Airway Disease', 'Pityriasis Rosea', 'Septicemia', 'Disease', 'BODY ACHE', 'Tired', 'Exanthema', 'Upset stomach', 'Throat symptom', 'Headache', 'Pain', 'Ageusia', 'Stomach ache', 'Illness (finding)', 'Nausea', 'Hunger', 'Coughing', 'Sharp pain', 'Dyspnea', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/tested-positive-on-28th-dec-20-my-symptoms-etc-753995
7,"['Anorexia', 'Ear symptom', 'Fatigue', 'Burning sensation', 'Myalgia', 'Headache', 'Pain', 'Earache', 'Sleeplessness']",https://patient.info//forums/discuss/post-covid-symptoms-756689
8,"['Ageusia', 'Ache', 'Feeling Sick', 'Nausea', 'Headache', 'Coughing', 'Dyspnea']",https://patient.info//forums/discuss/day-10-nausea-and-headache-756678
9,"['Ache', 'Tired', 'Fatigue', 'Pain', 'Arm Pain', 'Sore to touch', 'Chills', 'nan']",https://patient.info//forums/discuss/moderna-2-doses-my-reactions-756664
10,"['Van der Woude syndrome', 'Common Cold', 'Dehydration', 'Fibromyalgia', 'Ache', 'Tired', 'Fatigue', 'Cough with fever', 'Myalgia', 'Headache', 'Weakness', 'Earache', 'spells (neurological symptom)', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/no-appetite-and-sleeping-all-day-so-so-tired-754115
11,"['Myopathy', 'Coronavirus Infections', 'Muscle Weakness', 'nan', 'nan']",https://patient.info//forums/discuss/cholesterol-on-covid-19-756645
12,"['nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/i-wonder-whether-i-am-considered-vaccine-compromised-biontec-moderna--756545
13,"['Communicable Diseases', 'Fatigue', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://patient.info//forums/discuss/oxygen-requirement-has-gone-up-750438
14,"['Ache', 'Feeling Sick', 'Coughing', 'nan']",https://patient.info//forums/discuss/loss-of-smell-and-taste-5-days-after-nasal-congestion-and-a-very-bad-throat--756254
15,"['Disease', 'Seizures', 'Dizziness']",https://patient.info//forums/discuss/permanent-dizzyness-756364
