PostNumber,SymptomId,SymptomName,TreatmentId,TreatmentName,DrugId,DrugName,BodypartId,BodypartName,PostLink
1,C0549410,Palmar-plantar erythrodysesthesia syndrome,,,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,C0007286,Carpal Tunnel Syndrome,,,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,C0730307,Cancer-Associated Retinopathy,,,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,C0206750,Coronavirus Infections,,,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,C0267446,Acute gastroenteritis,,,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,C1268935,Congenital Thrombotic Thrombocytopenic Purpura,,,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,C0018081,Gonorrhea,,,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,C0432255,Geroderma osteodysplastica,,,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,C0036916,Sexually Transmitted Diseases,,,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,C0432252,Osteoporosis with pseudoglioma,,,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,C0600260,"Lung Diseases, Obstructive",,,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,C0272302,Gray Platelet Syndrome,,,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,C0012634,Disease,,,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,C0030193,Pain,,,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,C0848283,rundown,,,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,,,C1456647,Childhood Immunization,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,,,C0374711,Surgical repair,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,,,C0279848,cisplatin/etoposide/mitoxantrone/tamoxifen protocol,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,,,C0508431,answer questions,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
