Source,Destination,Weight
C0549410,C0007286,1.0
C0549410,C0730307,2.0
C0549410,C0206750,11.0
C0549410,C0267446,3.0
C0549410,C1268935,1.0
C0549410,C0432255,9.0
C0549410,C0036916,2.0
C0549410,C0432252,1.0
C0549410,C0600260,4.0
C0549410,C0272302,3.0
C0549410,C0030193,1.0
C0549410,C0848283,1.0
C0549410,C0023882,1.0
C0549410,C0266427,1.0
C0549410,C1861457,1.0
C0549410,C0009443,1.0
C0549410,C0021400,2.0
C0549410,C0010200,2.0
C0549410,C0004093,1.0
C0549410,C0020498,1.0
C0549410,C1864389,1.0
C0549410,C0024117,1.0
C0549410,C0265220,1.0
C0549410,C0263677,1.0
C0549410,C0263214,1.0
C0549410,C0577573,1.0
C0549410,C0231217,1.0
C0549410,C0085593,1.0
C0549410,C0027769,2.0
C0549410,C0270724,3.0
C0549410,C0392674,1.0
C0549410,C0432291,1.0
C0549410,C0425449,1.0
C0549410,C0241042,1.0
C0549410,C0342895,1.0
C0549410,C0205930,1.0
C0549410,C2931783,1.0
C0549410,C0024591,1.0
C0549410,C0010964,1.0
C0549410,C0848290,1.0
C0549410,C0235710,1.0
C0549410,C0042214,1.0
C0549410,C0027092,1.0
C0549410,C0022521,1.0
C0549410,C0263541,1.0
C0007286,C0730307,12.0
C0007286,C0206750,46.0
C0007286,C0267446,14.0
C0007286,C1268935,2.0
C0007286,C0432255,31.0
C0007286,C0036916,7.0
C0007286,C0432252,2.0
C0007286,C0600260,21.0
C0007286,C0272302,22.0
C0007286,C0030193,7.0
C0007286,C0848283,1.0
C0007286,C0023882,21.0
C0007286,C0266427,5.0
C0007286,C1861457,2.0
C0007286,C0271441,8.0
C0007286,C1845118,5.0
C0007286,C0683324,2.0
C0007286,C0796126,1.0
C0007286,C0234233,1.0
C0007286,C3539909,4.0
C0007286,C0009443,10.0
C0007286,C0021400,13.0
C0007286,C0010200,10.0
C0007286,C0004093,2.0
C0007286,C0013404,1.0
C0007286,C0456909,5.0
C0007286,C0029437,2.0
C0007286,C0020498,3.0
C0007286,C1864389,5.0
C0007286,C0018520,1.0
C0007286,C0018099,1.0
C0007286,C0596601,3.0
C0007286,C0036572,7.0
C0007286,C0024117,7.0
C0007286,C0037354,1.0
C0007286,C1956097,5.0
C0007286,C0018681,1.0
C0007286,C0265220,1.0
C0007286,C0271382,1.0
C0007286,C2076600,1.0
C0007286,C0031036,1.0
C0007286,C1336827,1.0
C0007286,C0263940,2.0
C0007286,C0741585,1.0
C0007286,C1175175,1.0
C0007286,C0039235,1.0
C0007286,C0011263,3.0
C0007286,C0040149,1.0
C0007286,C0263677,3.0
C0007286,C0017495,1.0
C0007286,C0263214,2.0
C0007286,C0796092,4.0
C0007286,C0029421,1.0
C0007286,C0271686,1.0
C0007286,C0577573,3.0
C0007286,C1517205,3.0
C0007286,C0231617,5.0
C0007286,C0231217,1.0
C0007286,C0032371,3.0
C0007286,C0023886,5.0
C0007286,C0025007,2.0
C0007286,C0242350,1.0
C0007286,C0432262,4.0
C0007286,C0872315,1.0
C0007286,C0275813,1.0
C0007286,C0683369,7.0
C0007286,C0034067,2.0
C0007286,C0472762,2.0
C0007286,C0008679,2.0
C0007286,C0085593,1.0
C0007286,C0030360,2.0
C0007286,C0032285,1.0
C0007286,C0004096,4.0
C0007286,C0028754,2.0
C0007286,C0020538,1.0
C0007286,C0011849,2.0
C0007286,C0024115,2.0
C0007286,C0022658,1.0
C0007286,C0027769,4.0
C0007286,C0497406,1.0
C0007286,C0270724,11.0
C0007286,C0409974,2.0
C0007286,C0024530,1.0
C0007286,C0016204,2.0
C0007286,C0231218,1.0
C0007286,C0040822,2.0
C0007286,C0221423,1.0
C0007286,C0028084,1.0
C0007286,C0235309,2.0
C0007286,C0392674,2.0
C0007286,C0018790,1.0
C0007286,C0795691,1.0
C0007286,C0557875,3.0
C0007286,C0242073,1.0
C0007286,C0019151,1.0
C0007286,C0348754,1.0
C0007286,C0275518,3.0
C0007286,C0235272,1.0
C0007286,C0026760,3.0
C0007286,C0035854,1.0
C0007286,C1839730,1.0
C0007286,C0221170,6.0
C0007286,C0425481,3.0
C0007286,C0432291,1.0
C0007286,C0342895,1.0
C0007286,C0205930,1.0
C0007286,C0341703,2.0
C0007286,C0011860,1.0
C0007286,C0019247,1.0
C0007286,C1839736,3.0
C0007286,C0239313,1.0
C0007286,C1849718,3.0
C0007286,C1862941,1.0
C0007286,C0085786,1.0
C0007286,C0740941,1.0
C0007286,C0234238,1.0
C0007286,C0024591,4.0
C0007286,C0162628,1.0
C0007286,C0017547,1.0
C0007286,C0151744,8.0
C0007286,C0877015,1.0
C0007286,C0343401,1.0
C0007286,C0796176,3.0
C0007286,C0030201,1.0
C0007286,C0087031,1.0
C0007286,C0024138,1.0
C0007286,C0175697,2.0
C0007286,C1260899,1.0
C0007286,C3278560,1.0
C0007286,C2314994,1.0
C0007286,C0032064,1.0
C0007286,C0175754,5.0
C0007286,C3495488,2.0
C0007286,C0018801,1.0
C0007286,C0476273,1.0
C0007286,C1321587,1.0
C0007286,C0011175,2.0
C0007286,C0039070,1.0
C0007286,C0277556,1.0
C0007286,C0149871,1.0
C0007286,C0016053,1.0
C0007286,C0302539,1.0
C0007286,C0004364,1.0
C0007286,C0019212,1.0
C0007286,C1854310,1.0
C0007286,C0010964,1.0
C0007286,C0730321,6.0
C0007286,C0231837,1.0
C0007286,C0027341,1.0
C0007286,C0458171,1.0
C0007286,C0265338,1.0
C0007286,C0027707,1.0
C0007286,C0039082,1.0
C0007286,C0030481,6.0
C0007286,C1442877,1.0
C0007286,C0037315,1.0
C0007286,C0010340,4.0
C0007286,C0080151,9.0
C0007286,C0043194,6.0
C0007286,C2895206,5.0
C0007286,C2931877,3.0
C0007286,C0272285,1.0
C0007286,C0019360,1.0
C0007286,C1535939,3.0
C0007286,C1720830,3.0
C0007286,C1561643,1.0
C0007286,C0085631,1.0
C0007286,C0679225,1.0
C0007286,C0679247,4.0
C0007286,C0039483,1.0
C0007286,C0677607,1.0
C0007286,C0031542,1.0
C0007286,C0014175,1.0
C0007286,C0206062,1.0
C0007286,C0038160,1.0
C0007286,C0040128,1.0
C0007286,C0029408,1.0
C0007286,C0031117,1.0
C0007286,C0002880,1.0
C0007286,C0006267,3.0
C0007286,C0022521,1.0
C0007286,C0268696,1.0
C0007286,C0014544,2.0
C0007286,C1956257,1.0
C0007286,C0033860,2.0
C0007286,C0878544,1.0
C0007286,C0043167,1.0
C0007286,C0262395,1.0
C0007286,C0162531,1.0
C0007286,C0032533,1.0
C0007286,C0027849,1.0
C0007286,C0024534,1.0
C0007286,C0015190,1.0
C0007286,C0393459,1.0
C0007286,C0008055,1.0
C0007286,C0338480,1.0
C0007286,C0393593,1.0
C0007286,C0015306,1.0
C0007286,C1852222,2.0
C0007286,C0314719,2.0
C0007286,C0267808,2.0
C0007286,C0023374,2.0
C0007286,C0339510,2.0
C0007286,C0085632,2.0
C0007286,C0032319,1.0
C0007286,C0030299,1.0
C0007286,C1848392,1.0
C0007286,C0017667,1.0
C0007286,C0263393,1.0
C0007286,C1850106,1.0
C0007286,C0023895,1.0
C0007286,C0008715,1.0
C0007286,C0497169,1.0
C0007286,C0153064,1.0
C0007286,C0233488,1.0
C0007286,C0040038,1.0
C0007286,C0398623,1.0
C0007286,C0018939,1.0
C0007286,C1859722,1.0
C0007286,C1299624,4.0
C0007286,C0751295,4.0
C0007286,C0392475,1.0
C0007286,C0242770,1.0
C0007286,C0162557,1.0
C0007286,C0006109,1.0
C0730307,C0206750,32.0
C0730307,C0267446,11.0
C0730307,C1268935,3.0
C0730307,C0432255,27.0
C0730307,C0036916,4.0
C0730307,C0432252,1.0
C0730307,C0600260,17.0
C0730307,C0272302,18.0
C0730307,C0030193,8.0
C0730307,C0848283,1.0
C0730307,C0023882,22.0
C0730307,C0266427,3.0
C0730307,C0003126,1.0
C0730307,C0271441,3.0
C0730307,C1845118,1.0
C0730307,C0683324,2.0
C0730307,C0796126,1.0
C0730307,C0015672,3.0
C0730307,C0234233,3.0
C0730307,C0009443,11.0
C0730307,C0021400,6.0
C0730307,C1260880,1.0
C0730307,C0010200,8.0
C0730307,C0004093,1.0
C0730307,C0013404,3.0
C0730307,C0456909,2.0
C0730307,C0020498,3.0
C0730307,C1864389,4.0
C0730307,C0027051,1.0
C0730307,C2364111,1.0
C0730307,C0403566,1.0
C0730307,C0596601,4.0
C0730307,C0036572,7.0
C0730307,C0024117,4.0
C0730307,C0476270,1.0
C0730307,C1956097,4.0
C0730307,C0018681,1.0
C0730307,C3670075,1.0
C0730307,C1175175,1.0
C0730307,C0027497,2.0
C0730307,C0011263,4.0
C0730307,C0040149,1.0
C0730307,C0263214,1.0
C0730307,C0796092,1.0
C0730307,C0231617,4.0
C0730307,C1096446,1.0
C0730307,C0023886,2.0
C0730307,C0275813,1.0
C0730307,C0683369,4.0
C0730307,C0034067,1.0
C0730307,C0008679,1.0
C0730307,C0220870,1.0
C0730307,C0085593,1.0
C0730307,C0004096,4.0
C0730307,C0027769,2.0
C0730307,C0016382,2.0
C0730307,C0948873,1.0
C0730307,C0270724,12.0
C0730307,C0850149,1.0
C0730307,C0016204,4.0
C0730307,C0235129,1.0
C0730307,C0040822,2.0
C0730307,C1291077,1.0
C0730307,C0235309,2.0
C0730307,C0392674,2.0
C0730307,C0041912,1.0
C0730307,C0557875,5.0
C0730307,C0275518,2.0
C0730307,C0026760,1.0
C0730307,C0221170,5.0
C0730307,C0425481,2.0
C0730307,C0432291,1.0
C0730307,C0392171,1.0
C0730307,C1839736,2.0
C0730307,C0455270,1.0
C0730307,C0037199,1.0
C0730307,C0033774,1.0
C0730307,C0085786,1.0
C0730307,C0740941,2.0
C0730307,C0234238,2.0
C0730307,C0024591,3.0
C0730307,C0232292,1.0
C0730307,C0151744,11.0
C0730307,C0877015,1.0
C0730307,C0343401,1.0
C0730307,C0796176,5.0
C0730307,C0030201,1.0
C0730307,C0087031,1.0
C0730307,C0270627,1.0
C0730307,C0175697,3.0
C0730307,C1260899,3.0
C0730307,C3278560,2.0
C0730307,C0022353,2.0
C0730307,C0012833,1.0
C0730307,C0038454,1.0
C0730307,C0024814,1.0
C0730307,C0175754,5.0
C0730307,C1321587,1.0
C0730307,C1836123,1.0
C0730307,C0427149,1.0
C0730307,C2242996,1.0
C0730307,C0235031,1.0
C0730307,C0277556,2.0
C0730307,C0011168,1.0
C0730307,C0023380,1.0
C0730307,C0221512,1.0
C0730307,C0016053,1.0
C0730307,C0302539,1.0
C0730307,C0559687,1.0
C0730307,C0009763,1.0
C0730307,C0003864,1.0
C0730307,C0004095,1.0
C0730307,C0438716,2.0
C0730307,C1443924,1.0
C0730307,C0849959,1.0
C0730307,C0042571,1.0
C0730307,C0004364,1.0
C0730307,C0019212,1.0
C0730307,C0730321,7.0
C0730307,C0458171,2.0
C0730307,C0033046,1.0
C0730307,C0242301,1.0
C0730307,C0027707,1.0
C0730307,C0030481,6.0
C0730307,C0234786,1.0
C0730307,C0848277,1.0
C0730307,C0231811,1.0
C0730307,C0575090,1.0
C0730307,C0235283,1.0
C0730307,C0042214,2.0
C0730307,C0037315,1.0
C0730307,C0035078,1.0
C0730307,C0010340,5.0
C0730307,C1096235,1.0
C0730307,C0080151,6.0
C0730307,C0043194,6.0
C0730307,C1306856,1.0
C0730307,C0017605,1.0
C0730307,C2895206,6.0
C0730307,C2931877,4.0
C0730307,C0242994,1.0
C0730307,C0231451,1.0
C0730307,C0272285,4.0
C0730307,C1836672,1.0
C0730307,C0474496,1.0
C0730307,C0423729,1.0
C0730307,C3640008,1.0
C0730307,C0312422,1.0
C0730307,C1535939,1.0
C0730307,C1720830,3.0
C0730307,C0085631,1.0
C0730307,C0679247,4.0
C0730307,C0002880,1.0
C0730307,C0006267,3.0
C0730307,C0013902,1.0
C0730307,C0796074,1.0
C0730307,C0026837,1.0
C0730307,C0014544,2.0
C0730307,C0037672,1.0
C0730307,C0012242,1.0
C0730307,C1956257,2.0
C0730307,C0033860,3.0
C0730307,C0015190,2.0
C0730307,C0268497,1.0
C0730307,C0035258,1.0
C0730307,C0009269,2.0
C0730307,C3281223,1.0
C0730307,C1859452,1.0
C0730307,C0744638,1.0
C0730307,C0085096,1.0
C0730307,C0019559,1.0
C0730307,C0393459,1.0
C0730307,C0008055,1.0
C0730307,C0338480,1.0
